customer_id,email_hash,first_seen_at,acquisition_channel,country,signup_source
CUST_00001,be72a6287c41316db75b7bc8020024c8,2024-04-24 00:00:00,Search,US,Web
CUST_00002,de54c9567234025a4b326d7882e91ce4,2024-04-14 00:00:00,Email,DE,Web
CUST_00003,64bf6b54ba4b065b5f45e5187756870a,2025-03-08 00:00:00,Search,US,Web
CUST_00004,1d0a8474488144f248722d20e9fd0e24,2025-09-08 00:00:00,Search,US,iOS
CUST_00005,2ff2d013dd15c65ee144645b507a6542,2025-07-12 00:00:00,Paid Social,BR,Web
CUST_00006,4d2942e02ae195ce78181b9dcbfaf42c,2024-01-07 00:00:00,Email,US,Web
CUST_00007,e7f28d62de13221a434eb0f02a78655c,2024-10-11 00:00:00,Search,FR,Web
CUST_00008,a01884e2a30cbc24a0fa23ba23efe8ad,2024-04-04 00:00:00,Paid Social,US,Web
CUST_00009,80b4bb5463089c3a2585dd7f1a5b9eb0,2024-09-27 00:00:00,Organic,GB,iOS
CUST_00010,e2f71db5a383084e40063ae508814cbf,2025-01-22 00:00:00,Search,US,iOS
CUST_00011,3763f3f995f2a9382f09aa30dcef972c,2025-01-05 00:00:00,Paid Social,GB,Web
CUST_00012,6f40559c3e1ab525ccdb40884db2d350,2024-08-21 00:00:00,Email,FR,Android
CUST_00013,2f580af2ac523e4583d94b6303f311e1,2024-04-13 00:00:00,Paid Social,BR,Android
CUST_00014,ad0440fe4cdcec581bc35f3f53c0ee8e,2024-06-15 00:00:00,Paid Social,US,Web
CUST_00015,c8fa5d61392238f3da2b2a536e61c84d,2024-03-14 00:00:00,Paid Social,US,iOS
CUST_00016,285fba2a57e44336fa65762037766f0a,2024-06-16 00:00:00,Paid Social,US,Android
CUST_00017,5492c1ce4e1e8a6bcdd6bbfdfea869c5,2025-07-24 00:00:00,Search,US,iOS
CUST_00018,035b165f58814af649f512ff33cf6dcb,2024-02-27 00:00:00,Search,US,Web
CUST_00019,0c40418f58fded25e37d597cfe82e49f,2024-10-01 00:00:00,Search,FR,iOS
CUST_00020,664ca265e66a61ed221a357fe9b58044,2024-11-18 00:00:00,Search,BR,Android
CUST_00021,82563dcf9fbf0b284576eec4eb186c86,2025-04-14 00:00:00,Search,US,iOS
CUST_00022,e8c4e3dd89e0ce06a766cf725c6e452e,2025-07-05 00:00:00,Search,BR,Android
CUST_00023,a93152a4d645e1bbcd047cc2b3a9bb31,2025-02-12 00:00:00,Paid Social,FR,Web
CUST_00024,ccbf3da2188b2e395d756c124ada1db8,2025-05-20 00:00:00,Search,US,Web
CUST_00025,6e28d5e2e115c60f2c8dcaf335b55bb9,2024-06-12 00:00:00,Email,BR,Web
CUST_00026,809dd9e75ed7914181e3200f7df706bf,2025-01-25 00:00:00,Paid Social,BR,Web
CUST_00027,aab10e909c07744677f7a0e4780a4eec,2025-07-20 00:00:00,Organic,US,iOS
CUST_00028,afb54c77f5d77dd415c4bca5fc788471,2025-07-03 00:00:00,Email,DE,Web
CUST_00029,1139008b1a33a9b11530de198f73c1fb,2024-10-27 00:00:00,Paid Social,BR,Android
CUST_00030,7106399fef4353f2f65a49c36afe8eb9,2024-09-26 00:00:00,Direct,DE,iOS
CUST_00031,55d93ce25924d84e17e56901ae6f39c9,2024-04-18 00:00:00,Organic,US,iOS
CUST_00032,20f2332340b647fabb6a01fd31508564,2025-09-15 00:00:00,Search,US,Web
CUST_00033,547be43c6e378bc6f6401bd8e33feddc,2025-06-27 00:00:00,Direct,BR,Web
CUST_00034,945b1c89952dc2e36a5737bfc03b90dd,2024-04-24 00:00:00,Direct,DE,Android
CUST_00035,d690e31010ae30922c0a791f3fa64355,2024-11-10 00:00:00,Search,US,iOS
CUST_00036,11da11191df357c0477c1c4af8a28362,2024-03-21 00:00:00,Search,BR,Web
CUST_00037,b0131e38e9d7a433e9629f24a0813e90,2025-06-29 00:00:00,Email,US,Web
CUST_00038,f9b03fb26683b49e36ba8ba5f0e59f98,2025-07-16 00:00:00,Search,BR,iOS
CUST_00039,84a3a71a142fe4ea43e8338fa496d28b,2024-08-04 00:00:00,Direct,DE,iOS
CUST_00040,cb603f3459b261df80ce6801fae321d7,2024-11-15 00:00:00,Paid Social,GB,Web
CUST_00041,148fd67a589a758dd3907d9aa86c5163,2025-06-13 00:00:00,Paid Social,US,Web
