order_id,customer_id,order_date,status,total_amount,currency,discount_amount
ORD_000001,CUST_00001,2024-04-24 00:00:00,completed,47.65,USD,0.0
ORD_000002,CUST_00001,2024-10-12 00:00:00,completed,127.33,USD,22.53
ORD_000003,CUST_00001,2024-11-25 00:00:00,completed,29.48,USD,0.0
ORD_000004,CUST_00002,2024-04-14 00:00:00,completed,76.74,USD,0.0
ORD_000005,CUST_00002,2024-05-16 00:00:00,completed,18.95,USD,4.66
ORD_000006,CUST_00002,2024-06-14 00:00:00,completed,78.02,USD,0.0
ORD_000007,CUST_00002,2024-09-21 00:00:00,completed,61.02,USD,0.0
ORD_000008,CUST_00002,2024-10-11 00:00:00,completed,175.26,USD,0.0
ORD_000009,CUST_00003,2025-03-08 00:00:00,completed,224.63,USD,0.0
ORD_000010,CUST_00003,2025-06-10 00:00:00,completed,113.8,USD,0.0
ORD_000011,CUST_00003,2025-07-08 00:00:00,completed,131.07,USD,0.0
ORD_000012,CUST_00004,2025-09-08 00:00:00,completed,17.67,USD,0.0
ORD_000013,CUST_00005,2025-07-12 00:00:00,returned,82.03,USD,0.0
ORD_000014,CUST_00005,2025-12-09 00:00:00,cancelled,67.02,USD,0.0
ORD_000015,CUST_00006,2024-01-07 00:00:00,completed,14.99,USD,0.0
ORD_000016,CUST_00006,2024-02-13 00:00:00,returned,495.22,USD,93.75
ORD_000017,CUST_00006,2024-02-26 00:00:00,completed,46.4,USD,0.0
ORD_000018,CUST_00006,2024-06-26 00:00:00,completed,12.57,USD,0.0
ORD_000019,CUST_00006,2024-09-09 00:00:00,completed,197.74,USD,0.0
ORD_000020,CUST_00006,2024-10-01 00:00:00,completed,49.29,USD,0.0
ORD_000021,CUST_00006,2024-10-25 00:00:00,completed,215.0,USD,42.39
ORD_000022,CUST_00007,2024-10-11 00:00:00,completed,18.14,USD,0.0
ORD_000023,CUST_00008,2024-04-04 00:00:00,completed,104.8,USD,19.18
ORD_000024,CUST_00008,2024-06-04 00:00:00,completed,31.49,USD,6.31
ORD_000025,CUST_00009,2024-09-27 00:00:00,completed,372.43,USD,0.0
ORD_000026,CUST_00009,2024-12-22 00:00:00,completed,52.91,USD,5.6
ORD_000027,CUST_00009,2025-01-22 00:00:00,completed,59.72,USD,0.0
ORD_000028,CUST_00010,2025-01-22 00:00:00,completed,84.57,USD,0.0
ORD_000029,CUST_00010,2025-07-26 00:00:00,completed,129.96,USD,0.0
ORD_000030,CUST_00010,2025-09-12 00:00:00,returned,53.91,USD,8.45
ORD_000031,CUST_00010,2025-10-25 00:00:00,completed,98.66,USD,8.83
ORD_000032,CUST_00011,2025-01-05 00:00:00,cancelled,314.42,USD,0.0
ORD_000033,CUST_00012,2024-08-21 00:00:00,returned,357.21,USD,27.51
ORD_000034,CUST_00012,2024-10-20 00:00:00,completed,142.03,USD,0.0
ORD_000035,CUST_00012,2025-05-21 00:00:00,completed,50.92,USD,6.83
ORD_000036,CUST_00012,2025-08-08 00:00:00,completed,33.86,USD,0.0
ORD_000037,CUST_00013,2024-04-13 00:00:00,completed,51.99,USD,0.0
ORD_000038,CUST_00013,2024-07-07 00:00:00,returned,59.34,USD,4.92
ORD_000039,CUST_00014,2024-06-15 00:00:00,completed,146.75,USD,17.21
ORD_000040,CUST_00015,2024-03-14 00:00:00,completed,154.8,USD,0.0
ORD_000041,CUST_00016,2024-06-16 00:00:00,completed,119.6,USD,0.0
ORD_000042,CUST_00017,2025-07-24 00:00:00,completed,57.35,USD,0.0
ORD_000043,CUST_00017,2025-11-29 00:00:00,completed,16.85,USD,0.0
ORD_000044,CUST_00018,2024-02-27 00:00:00,completed,43.61,USD,0.0
ORD_000045,CUST_00018,2024-07-02 00:00:00,completed,179.66,USD,0.0
ORD_000046,CUST_00019,2024-10-01 00:00:00,completed,87.33,USD,16.43
ORD_000047,CUST_00019,2025-09-21 00:00:00,completed,352.18,USD,0.0
ORD_000048,CUST_00020,2024-11-18 00:00:00,completed,14.9,USD,0.0
ORD_000049,CUST_00020,2025-03-12 00:00:00,completed,53.47,USD,0.0
ORD_000050,CUST_00021,2025-04-14 00:00:00,completed,688.12,USD,90.61
